wt% PPF,Pressure (bar),Pressure (Pa),Speed (mm/s),Avg Fiber width,SD
90,2.5,250000,5,0.2283333333,0.019655364
90,2.5,250000,6.25,0.154,0.0202977831
90,2.5,250000,7.5,0.1333333333,0.0055075705
90,2.5,250000,8.75,0.1186666667,0.0080208063
90,2.5,250000,10,0.101,0.0212837967
90,2.5,250000,10,0.161,0.0103923048
90,2.5,250000,12.5,0.0436666667,0.0385529938
90,2.5,250000,15,0,0
90,2.5,250000,17.5,0,0
90,2.5,250000,20,0,0
90,3,300000,5,0.2496666667,0.0055075705
90,3,300000,6.25,0.1633333333,0.0075055535
90,3,300000,7.5,0.144,0.0091651514
90,3,300000,8.75,0.1306666667,0.0005773503
90,3,300000,10,0.113,0.0223383079
90,3,300000,10,0.1876666667,0.0051316014
90,3,300000,12.5,0.1296666667,0.0173877351
90,3,300000,15,0.0926666667,0.0144683563
90,3,300000,17.5,0.0353333333,0.0313900196
90,3,300000,20,0.0136666667,0.023671361
90,3.5,350000,5,0.2943333333,0.0147422296
90,3.5,350000,6.25,0.2126666667,0.0100166528
90,3.5,350000,7.5,0.1836666667,0.0202319879
90,3.5,350000,8.75,0.1716666667,0.0065064071
90,3.5,350000,10,0.1583333333,0.0083864971
90,4,400000,5,0.382,0.001
90,4,400000,6.25,0.2456666667,0.0051316014
90,4,400000,7.5,0.2256666667,0.0011547005
90,4,400000,8.75,0.2063333333,0.004163332
90,4,400000,10,0.191,0.0075498344
85,2.5,250000,5,0.6253333333,0.0161658075
85,2.5,250000,6.25,0.477,0.0127671453
85,2.5,250000,7.5,0.4253333333,0.0049328829
85,2.5,250000,8.75,0.3973333333,0.0061101009
85,2.5,250000,10,0.3723333333,0.0065064071
85,2.5,250000,10,0.4833333333,0.0102632029
85,2.5,250000,12.5,0.3423333333,0.0080829038
85,2.5,250000,15,0.3093333333,0.0098657657
85,2.5,250000,17.5,0.2826666667,0.0127410099
85,2.5,250000,20,0.2733333333,0.0056862407
85,3,300000,5,0.7626666667,0.0313421973
85,3,300000,6.25,0.5746666667,0.0192959409
85,3,300000,7.5,0.527,0.0072111026
85,3,300000,8.75,0.5133333333,0.0214553801
85,3,300000,10,0.49,0.0101488916
85,3,300000,10,0.52625,0.0151739909
85,3,300000,12.5,0.35675,0.0080983537
85,3,300000,15,0.3215,0.0067577116
85,3,300000,17.5,0.31525,0.0122304265
85,3,300000,20,0.2995,0.0074161985
85,3.5,350000,5,0.91075,0.051738928
85,3.5,350000,6.25,0.697,0.0413843771
85,3.5,350000,7.5,0.6305,0.0358561943
85,3.5,350000,8.75,0.591,0.0258714772
85,3.5,350000,10,0.5525,0.039736633
85,4,400000,5,1.033,0.0410121933
85,4,400000,6.25,0.8065,0.0459619408
85,4,400000,7.5,0.702,0.0523259018
85,4,400000,8.75,0.6215,0.1039446968
85,4,400000,10,0.5515,0.1491995308
